Requirement,Clause ID,Description,Mapped Reference Model Function(s),Traceability,Explainability,Evidence Integrity,Adaptability,Action Governance,Reasoning,,,
,8.6.2,"Passwords/passphrases for application and system accounts that allow interactive login are not hard-coded in scripts, config files, or source code.",Control Implementation Validation,Specified : Storage location→prohibited mapping explicit.,Not specified,Indirect : Evidence via scans/reviews; integrity not stated.,Indirect : Controls evolve with tooling.,Specified : Enforcing prohibition is governance.,Indirect : Handling legacy/exceptions requires reasoning.,,,
,8.6.3,"Passwords/passphrases for application and system accounts are protected against misuse by being changed periodically (per targeted risk analysis), constructed with sufficient complexity, and updated upon suspicion of compromise.",Control Implementation Validation; Vulnerability and Risk Assessments (VA-RA),Specified : TRA→rotation/complexity/update rules map to controls.,Indirect : TRA and rules make rationale clear.,Indirect : Evidence exists; integrity not mandated.,Specified : Rotation per TRA + event-driven updates = adaptation.,Specified : Enforcing these rules is governance.,Specified : TRA and event evaluation are formal reasoning.,,,
9: Restrict Physical Access to Cardholder Data,9.1.1,All security policies and operational procedures that are identified in Requirement 9 are: • Documented. • Kept up to date. • In use. • Known to all affected parties.,Requirement-to-Control Mapping and Gap Analysis,Specified : Documented→in-use→known forms policy→procedure→practice lineage.,Indirect : Awareness aids human understanding; no duty to narrate rationale.,Indirect : Records must exist; immutability/tamper-evidence not stated.,Specified : “Kept up to date” mandates revision as context changes.,Specified : Ensuring use/awareness is a governance obligation.,Indirect,Determining when and how to update or apply procedures involves evaluation; no explicit reasoning method required.,,
,9.1.2,"Roles and responsibilities for performing activities in Requirement 9 are documented, assigned, and understood.",Requirement-to-Control Mapping and Gap Analysis,Specified : Documented role→activity mapping to accountable owners.,Indirect : “Understood” supports clarity; no formal explanation required.,Indirect : Role records exist; integrity not stated.,Indirect : Roles can change; cadence not mandated.,Specified : “Assigned” = formal delegation.,Indirect,Matching roles to activities and validating coverage involves judgement; not prescribed.,,
,9.2.1,Appropriate facility entry controls are in place to restrict physical access to systems in the CDE.,Control Implementation Validation,Indirect : Controls map zones/assets→entry gates; explicit trace artefact not required.,Indirect : Control design is interpretable; no narrative duty.,Indirect : Badges/logs may exist; immutability not stated.,Indirect : Controls evolve with facilities.,Specified : Implementing and enforcing entry controls is governance.,Indirect,Designing facility access controls appropriate to zones and assets requires reasoning; no formal artefact required.,,
,9.2.1.1,"Individual physical access to sensitive areas within the CDE is monitored via video cameras and/or physical access control mechanisms, protected from tampering, reviewed, and data stored for at least three months.",Continuous Monitoring and Anomaly Detection; Evidence Collection and Management,Specified : Person→event→record linkage enables per-user trace.,Indirect : Reviews make access narratives understandable.,Specified : “Protected from tampering” + retention window = integrity requirements for the records.,Indirect : Review cadence implied; exact frequency not fixed.,"Specified : Operating monitoring, reviews, retention is governance.",Indirect,"Assessing placement, coverage, and sufficiency of video/physical monitoring involves structured reasoning; not mandated.",,
,9.2.2,Physical and/or logical controls are implemented to restrict use of publicly accessible network jacks within the facility.,Control Implementation Validation,Indirect : Jack→restriction mapping can be recorded; not mandated.,Indirect : Rationale is clear; no duty to explain.,Indirect : Evidence of controls exists; integrity not stated.,Indirect : Restrictions evolve with layout/risk.,Specified : Implementing restrictions is governance.,Indirect,Determining which jacks require restriction involves risk reasoning; method not specified.,,
,9.2.3,"Physical access to wireless access points, gateways, networking/communications hardware, and telecommunication lines within the facility is restricted.",Control Implementation Validation,Indirect : Asset→restriction mapping traceable; not compelled.,Indirect : Basis is understandable.,Indirect : Artefacts exist; integrity not stated.,Indirect : Assets/locations change.,Specified : Enforcing physical restrictions is governance.,Indirect,Selecting which network and telecom assets require restriction uses risk-based reasoning; no explicit requirement.,,
,9.2.4,Access to consoles in sensitive areas is restricted via locking when not in use.,Control Implementation Validation,Indirect : Console→lock rule is traceable; no explicit artefact required.,Indirect : Rule is understandable.,Indirect : Evidence (policies/logs) may exist; integrity not stated.,Indirect : Rules may evolve.,Specified : Enforcing lock rules is governance.,Indirect,Defining lock policies for consoles and exceptions involves situational reasoning; not mandated.,,
,9.3.1,"Procedures are implemented for authorising and managing physical access of personnel to the CDE, including identification, managing changes, revocation upon termination, and limiting access to the identification process.",Requirement-to-Control Mapping and Gap Analysis,Specified : Request→identify→approve→change/revoke chain provides lineage.,Indirect : Procedures make decisions reviewable.,Indirect : Records exist; immutability not mandated.,Indirect : Access states change with roles.,Specified : Authorisation and lifecycle steps are governance.,Indirect,"Authorising and revoking access requires evaluating identity, role, and justification; reasoning implicit in process.",,
,9.3.1.1,"Physical access to sensitive areas within the CDE for personnel is controlled, based on job function, revoked immediately upon termination, and all access mechanisms (keys, cards, etc.) are returned or disabled.",Control Implementation Validation; Evidence Collection and Management,Specified : Job function→access→revoke/return mapping explicit.,Indirect : Basis is clear to reviewers.,Indirect : Revocation/return records exist; integrity not stated.,Indirect : Changes occur on events.,Specified : Immediate revocation/return is governance.,Indirect,Determining job-function access levels and timing of revocation uses reasoning; not formalised.,,
,9.3.2,"Procedures are implemented for authorising and managing visitor access to the CDE, including prior authorisation, escorting at all times, issuing badges/IDs that expire and that visibly distinguish visitors from personnel.",Control Implementation Validation,Specified : Visitor request→authorise→escort→badge lifecycle is traceable.,Indirect : Procedures clarify rationale.,Indirect : Badge logs/requests exist; integrity not stated.,Indirect : Visitor controls evolve.,Specified : Authorisation/escorting/badging is governance.,Indirect,Designing visitor management flow and constraints involves procedural reasoning; not mandated.,,
,9.3.3,Visitor badges or identification are surrendered or deactivated before visitors leave the facility or at expiration.,Control Implementation Validation,Indirect : Event→deactivate mapping traceable; not mandated as artefact.,Indirect : Rule is clear.,Indirect : Deactivation logs exist; integrity not stated.,Indirect : Timing aligns with visits.,Specified : Enforcing surrender/deactivation is governance.,Indirect,Applying surrender/deactivation timing uses procedural reasoning; no formal artefact required.,,
,9.3.4,"Visitor logs are maintained for all facility and sensitive area access, recording visitor name, organisation, authorising personnel, date/time, and retained for at least three months.",Evidence Collection and Management; Audit and Reporting,Specified : Log fields create end-to-end visitor trace.,Indirect : Rich fields make access explainable.,Indirect : Retention is mandated; immutability not specified.,Specified : “Maintained… retained ≥3 months” = ongoing operation.,Indirect : Governance implied via authoriser field.,Indirect,Determining log fields and retention sufficiency involves reasoning for audit completeness; not mandated.,,
,9.4.1,All media with cardholder data is physically secured.,Control Implementation Validation,Indirect : Media→control mapping traceable; not required.,Indirect : Rationale is evident.,Indirect : Evidence of controls exists; integrity not stated.,Indirect : Controls adapt with storage posture.,Specified : Enforcing physical security is governance.,Indirect,Defining which media require physical safeguards involves asset-sensitivity reasoning; not prescribed.,,
,9.4.1.1,Offline media backups with cardholder data are stored in a secure location.,Control Implementation Validation,Indirect : Backup→secure location mapping traceable.,Indirect : Basis is understandable.,Indirect : Storage records exist; integrity not stated.,Indirect : Locations/controls may change.,Specified : Enforcing secure storage is governance.,Indirect,Selecting secure backup locations and evaluating their adequacy uses reasoning; no formal artefact required.,,
,9.4.1.2,The security of offline media backup locations with cardholder data is reviewed at least once every 12 months.,Audit and Reporting; Evidence Collection and Management,Specified : Review→findings chain produces auditable lineage.,Indirect : Review write-ups make rationale clear.,Indirect : Review artefacts exist; immutability not stated.,Specified : Annual cadence mandates adaptation.,Specified : Conducting/accepting reviews is governance.,Indirect,Assessing adequacy of backup location controls during annual reviews involves reasoning; not mandated.,,
,9.4.2,All media with cardholder data is classified in accordance with the sensitivity of the data.,Requirement-to-Control Mapping and Gap Analysis,Specified : Data→classification mapping creates control lineage.,Indirect : Classification criteria aid understanding.,Indirect : Classification records exist; integrity not stated.,Indirect : Classifications change with data.,Specified : Applying classification is governance.,Indirect,Applying classification levels according to sensitivity involves analytical reasoning; no explicit duty.,,
,9.4.3,"Media with cardholder data sent outside the facility is logged, transported via secured/tracked methods, and offsite logs include tracking details.",Control Implementation Validation; Evidence Collection and Management,Specified : Shipment→log→tracking builds chain of custody.,Indirect : Tracking details explain movement.,Specified : “Secured/tracked methods” + logs imply integrity of chain-of-custody evidence.,Indirect : Processes evolve with carriers/risks.,Specified : Approving shipment/controls is governance.,Indirect,Selecting secure transport and tracking methods reflects chain-of-custody reasoning; not required to document.,,
,9.4.4,Management approves all media with cardholder data that is moved outside the facility (including distribution to individuals).,Requirement-to-Control Mapping and Gap Analysis; Evidence Collection and Management,Specified : Movement→approval mapping explicit.,Indirect : Approval notes make decisions understandable.,Indirect : Approval records exist; integrity not stated.,Indirect : Approvals align with changing needs.,Specified : “Management approves” = governance gate.,Indirect,Evaluating appropriateness of offsite movement and approving requests involves reasoning; not mandated.,,
,9.4.5,Inventory logs of all electronic media with cardholder data are maintained.,Evidence Collection and Management,Specified : Inventory provides media→owner/location lineage.,Indirect : Inventory aids clarity.,Indirect : Logs exist; immutability not stated.,Specified : “Maintained” = kept current.,Indirect : Stewardship implied; approvals not explicit.,Indirect,Determining logging granularity and verification frequency requires reasoning; not formalised.,,
,9.4.5.1,Inventories of electronic media with cardholder data are conducted at least once every 12 months.,Audit and Reporting; Evidence Collection and Management,Specified : Annual inventory→results create trace.,Indirect : Reports explain status/gaps.,Indirect : Evidence exists; integrity not mandated.,Specified : Annual cadence mandates adaptation.,Specified : Performing inventories is governance.,Indirect,Conducting inventories and interpreting discrepancies involves analytical reasoning; not mandated.,,
,9.4.6,"Hard-copy materials with cardholder data are destroyed when no longer needed, via cross-cut shredding, pulping, or incineration; securely stored before destruction.",Control Implementation Validation,Specified : Need end→secure store→approved destruction method chain.,Indirect : Methods make rationale clear.,Specified : Approved destruction implies integrity of disposal evidence (unrecoverability).,Indirect : Timing/process adapt with needs.,Specified : Enforcing storage/destruction is governance.,Indirect,Selecting and timing destruction methods involves reasoning about recoverability and risk; no formal artefact.,,
,9.4.7,Electronic media with cardholder data is destroyed or rendered unrecoverable when no longer needed for business or legal reasons.,Control Implementation Validation,Specified : Decommission event→unrecoverable state mapping explicit.,Indirect : Rationale is clear.,Specified : “Rendered unrecoverable” implies integrity of sanitisation evidence.,Indirect : Timing aligns with lifecycle/policy.,Specified : Enforcing destruction is governance.,Indirect,Applying destruction or sanitisation techniques involves reasoning about unrecoverability; not required to document.,,
,9.5.1,"POI devices that capture card data via direct physical interaction are protected from tampering and unauthorised substitution through device inventories, inspections, and staff training.",Control Implementation Validation; Evidence Collection and Management,Specified : Inventory→inspect→train chain creates device-level lineage.,Indirect : Training/inspection outcomes explain posture.,Specified : “Protected from tampering” implies integrity of device state evidence.,Indirect : Inspection cadence adapts with risk.,Specified : Operating the programme is governance.,Indirect,"Designing inspection, training, and control processes for POI devices involves reasoning; not mandated.",,
,9.5.1.1,"An up-to-date list of POI devices is maintained, including make/model, location, and serial/unique identifier.",Evidence Collection and Management,Specified : Device ID→location→inventory enables traceability.,Indirect : Rich fields help explain context.,Indirect : Inventory exists; immutability not mandated.,Specified : “Up-to-date” requires continual maintenance.,Indirect : Stewardship implied.,Indirect,Maintaining device records and verifying completeness involves reasoning; not specified.,,
,9.5.1.2,POI device surfaces are periodically inspected for tampering or unauthorised substitution.,Continuous Monitoring and Anomaly Detection,Indirect : Inspection→finding chain can be logged; not compelled.,Indirect : Findings are interpretable.,Indirect : Logs/photos exist; integrity not stated.,Specified : “Periodically” = adaptive cadence.,Specified : Running inspections is governance.,Indirect,Setting inspection methods and interpreting results involves reasoning; not formalised.,,
,9.5.1.2.1,The frequency and type of POI device inspections are defined in the entity’s targeted risk analysis (per Requirement 12.3.1).,Vulnerability and Risk Assessments (VA-RA),Indirect : TRA→cadence/type mapping traceable.,Indirect : TRA documents rationale.,Not specified,Specified : Cadence and method adapt based on risk.,Specified : Setting cadence via TRA is governance.,Indirect,Determining inspection frequency and type through targeted risk analysis reflects explicit risk reasoning.,,
10: Log and Monitor All Access to System Components and Cardholder Data,10.1.1,All security policies and operational procedures that are identified in Requirement 10 are: • Documented. • Kept up to date. • In use. • Known to all affected parties.,Requirement-to-Control Mapping and Gap Analysis,Specified : Documented→in-use→known forms policy→procedure→practice lineage.,Indirect : Awareness aids understanding; no duty to narrate rationale.,Indirect : Records must exist; immutability not stated.,Specified : “Kept up to date” mandates revision with change.,Specified : Ensuring use/awareness is governance.,Indirect : Deciding updates/applicability involves evaluation.,,,
,10.1.2,"Roles and responsibilities for performing activities in Requirement 10 are documented, assigned, and understood.",Requirement-to-Control Mapping and Gap Analysis,Specified : Documented role→activity mapping to accountable owners.,Indirect : “Understood” supports clarity.,Indirect : Role records exist; integrity not stated.,Indirect : Roles can change; cadence not mandated.,Specified : “Assigned” = formal delegation.,Indirect : Allocation choices involve reasoning.,,,
,10.2.1,Audit logs are enabled and active for all system components and cardholder data.,Control Implementation Validation,Specified : Component scope→logging state is explicit and traceable.,Indirect : Posture is understandable; no narrative duty.,Indirect : Logs exist; tamper protection not yet required here.,Indirect : Coverage must evolve with components.,Specified : Enabling/ensuring active logging is governance.,Indirect : Deciding scope details involves reasoning.,,,
,10.2.1.1,Audit logs capture all individual user access to cardholder data.,Evidence Collection and Management,Specified : User→CHD access events are explicitly recorded for lineage.,Indirect : Per-user records support review.,Indirect : Capture mandated; integrity controls addressed later.,Indirect : Fields/coverage may evolve.,Indirect : Operation implied; approvals not stated.,Indirect : Selecting fields/coverage requires reasoning.,,,
,10.2.1.2,"Audit logs capture all actions taken by any individual with administrative access, including any interactive use of application or system accounts.",Evidence Collection and Management,Specified : Admin action→record creates privileged activity trace.,Indirect : Action narratives are reviewable.,Indirect : Existence required; tamper controls later.,Indirect : Admin scope evolves.,Indirect : Operation implied.,Indirect : Deciding granularity involves reasoning.,,,
,10.2.1.3,Audit logs capture all access to audit logs.,Evidence Collection and Management,Specified : Meta-logging gives chain of custody for logs.,Indirect : Access trails explain who touched logs.,Indirect : Integrity controls not yet mandated here.,Indirect : Coverage can evolve.,Indirect : Operation implied.,Indirect : Choosing events/levels involves reasoning.,,,
,10.2.1.4,Audit logs capture all invalid logical access attempts.,Evidence Collection and Management,Specified : Failed attempts→records provide trace to accounts/sources.,Indirect : Aids reviewer interpretation.,Indirect : Integrity handled elsewhere.,Indirect : Thresholds/coverage may change.,Indirect : Operation implied.,Indirect : Defining “invalid attempts” thresholds requires reasoning.,,,
,10.2.1.5,"Audit logs capture all changes to identification and authentication credentials including, but not limited to: • Creation of new accounts. • Elevation of privileges. • All changes, additions, or deletions to accounts with administrative access.",Evidence Collection and Management,Specified : Credential/change events→records = explicit lineage.,Indirect : Change trails explain decisions.,Indirect : Evidence required; tamper control later.,Indirect : Event set evolves.,Indirect : Operation implied.,Indirect : Event taxonomy selection requires reasoning.,,,
,10.2.1.6,"Audit logs capture: • All initialisation of new audit logs. • All starting, stopping, or pausing of the existing audit logs.",Evidence Collection and Management,Specified : Log lifecycle events→records ensure trace of logging state.,Indirect : Enables review of logging availability.,Indirect : Integrity covered in 10.3.x/10.4.x.,Indirect : Lifecycle handling evolves.,Indirect : Operation implied.,Indirect : Interpreting state changes requires reasoning.,,,
,10.2.1.7,Audit logs capture all creation and deletion of system-level objects.,Evidence Collection and Management,Specified : Object lifecycle→records = traceability.,Indirect : Aids understanding of changes.,Indirect : Integrity handled elsewhere.,Indirect : Scope/objects evolve.,Indirect : Operation implied.,Indirect : Defining object scope involves reasoning.,,,
,10.2.2,"Audit logs record the following details for each auditable event: • User identification. • Type of event. • Date and time. • Success and failure indication. • Origination of event. • Identity or name of affected data, system component, resource, or service.",Evidence Collection and Management,Specified : Explicit fields create complete mandate→event lineage.,Indirect : Rich fields make reviews intelligible.,Indirect : Recording fields required; tamper control later.,Indirect : Field sets may extend.,Indirect : Operation implied.,Indirect : Mapping systems to field capture requires reasoning.,,,
,10.3.1,Read access to audit log files is limited to those with a job-related need.,Control Implementation Validation,Specified : Role→permission mapping explicit and traceable.,Indirect : Basis is understandable.,Indirect : Access controls exist; tamper not mandated here.,Indirect : Roles/needs evolve.,Specified : Enforcing least-read is governance.,Indirect : Defining job need requires reasoning.,,,
,10.3.2,Audit log files are protected to prevent modifications by individuals.,Control Implementation Validation,Specified : Anti-modification requirement directly traceable.,Indirect : Rationale is clear.,Specified : Modification prevention is a direct integrity protection.,Indirect : Mechanisms evolve.,Specified : Enforcing protections is governance.,Indirect : Choosing mechanisms involves reasoning.,,,
,10.3.3,"Audit log files, including those for external-facing technologies, are promptly backed up to a secure, central, internal log server(s) or other media that is difficult to modify.",Control Implementation Validation,Specified : Source→central store mapping explicit.,Indirect : Centralisation aids reviewability.,Specified : “Difficult to modify” + secure central store = integrity safeguard.,Indirect : Targets/methods evolve.,Specified : Operating backup/centralisation is governance.,Indirect : Choosing media/topology requires reasoning.,,,
,10.3.4,File integrity monitoring or change-detection mechanisms are used on audit logs to ensure that existing log data cannot be changed without generating alerts.,Continuous Monitoring and Anomaly Detection,Specified : FIM/change detection directly enforces tamper-evidence.,Indirect : Alerts make issues explainable.,Specified : Tamper→alert linkage is an integrity control.,Indirect : Rules/tuning evolve.,Specified : Operating FIM is governance.,Indirect : Tuning thresholds/correlation involves reasoning.,,,
,10.4.1,"The following audit logs are reviewed at least once daily: • All security events. • Logs of all system components that store, process, or transmit CHD and/or SAD. • Logs of all critical system components. • Logs of all servers and system components that perform security functions (for example, firewalls, IDS/IPS, authentication servers).",Continuous Monitoring and Anomaly Detection,Specified : Defined scope→daily review chain traceable.,Indirect : Reviews provide human-readable narratives.,Indirect : Review records exist; integrity not mandated here.,Specified : Daily cadence = continual adaptation.,Specified : Running/overseeing reviews is governance.,Specified : Triage and analysis are structured reasoning.,,,
,10.4.1.1,Automated mechanisms are used to perform audit log reviews. (Best practice until 31 March 2025; required thereafter.),Continuous Monitoring and Anomaly Detection,Specified : Date-based requirement maps tooling→process lineage.,Indirect : Automation outcomes are interpretable.,Indirect : Evidence of automation exists; integrity not stated.,Specified : Transition to “required” enforces adaptation by date.,Specified : Selecting/operating tooling is governance.,Indirect : Tuning automation involves reasoning.,,,
,10.4.2,Logs of all other system components (those not specified in 10.4.1) are reviewed periodically.,Continuous Monitoring and Anomaly Detection,Indirect : Scope→periodic review chain can be recorded; cadence elsewhere.,Indirect : Reviews are intelligible.,Indirect : Review evidence exists; integrity not stated.,Indirect : Cadence adapts.,Specified : Ensuring periodic reviews is governance.,Indirect : Determining frequency/scope requires reasoning.,,,
,10.4.2.1,The frequency of periodic log reviews for all other system components is defined in the entity’s targeted risk analysis (per Requirement 12.3.1). (Best practice until 31 March 2025; required thereafter.),Vulnerability and Risk Assessments (VA-RA); Continuous Monitoring and Anomaly Detection,Indirect : TRA→frequency mapping is traceable.,Indirect : TRA documents rationale.,Not specified,Specified : Risk-based cadence and date-driven enforcement = adaptation.,Specified : Setting cadence via TRA is governance.,Specified : TRA is formal reasoning.,,,
,10.4.3,Exceptions and anomalies identified during the review process are addressed.,Incident Response and Recovery,Indirect : Finding→response linkage can be logged; not mandated here.,Indirect : Response write-ups are explainable.,Indirect : IR artefacts exist; integrity not stated.,Indirect : Responses evolve by incident.,Specified : Addressing anomalies is governance.,Specified : Triage/root-cause/decisioning is structured reasoning.,,,
,10.5.1,"Retain audit log history for at least 12 months, with at least the most recent three months immediately available for analysis.",Evidence Collection and Management,Specified : Retention window + availability produce clear evidence lineage over time.,Indirect : Availability supports reviewer comprehension.,Specified : Retention controls underpin integrity of historical evidence.,Indirect : Storage tiers/policies evolve.,Specified : Enforcing retention/availability is governance.,Indirect : Selecting storage/archival strategies involves reasoning.,,,
,10.6.1,System clocks and time are synchronised using time-synchronisation technology.,Control Implementation Validation,Specified : Time source→systems mapping explicit (foundation for trace).,Indirect : Consistent time aids interpretation.,Indirect : Sync evidence exists; tamper control later.,Indirect : Sources/methods may change.,Specified : Operating time sync is governance.,Indirect : Choosing tech/topology involves reasoning.,,,
,10.6.2,Systems are configured to the correct and consistent time as follows: • One or more designated time servers are in use. • Only the designated central time server(s) receives time from external sources. • Time is based on International Atomic Time or UTC. • Time servers peer with one another if multiple. • Internal systems receive time only from designated time servers.,Control Implementation Validation,Specified : Explicit architecture rules create clear trace from authoritative time→systems.,Indirect : Rules make behaviour explainable.,Indirect : Configs/logs exist; integrity not mandated here.,Indirect : Server set/peering may evolve.,Specified : Enforcing architecture is governance.,Indirect : Designing topology/peering requires reasoning.,,,
,10.6.3,"Time synchronisation settings and data are protected as follows: • Access to time data is restricted to only personnel with a business need. • Any changes to time settings on critical systems are logged, monitored, and reviewed.",Control Implementation Validation; Evidence Collection and Management,Specified : Access control + change logging create trace to authorised changes.,Indirect : Reviews make changes understandable.,"Specified : “Logged, monitored, reviewed” are direct integrity and oversight safeguards.",Indirect : Controls/rules evolve.,Specified : Enforcing restrictions/reviews is governance.,Indirect : Evaluating changes requires reasoning.,,,
,10.7.1,"(Service providers only, superseded by 10.7.2 after 31 March 2025) Failures of critical security control systems are detected, alerted, and addressed promptly, including but not limited to: • Network security controls. • IDS/IPS. • FIM. • Anti-malware solutions. • Physical access controls. • Logical access controls. • Audit logging mechanisms. • Segmentation controls (if used).",Continuous Monitoring and Anomaly Detection,Indirect : Failure→alert→response chain can be traced; not mandated.,Indirect : Alerts/actions explain posture.,Indirect : Artefacts exist; integrity not stated.,Specified : Date-bounded supersession demands adaptation.,Specified : Operating detection/alert/response is governance.,Indirect : Defining failure criteria requires reasoning.,,,
,10.7.2,"(All entities, required after 31 March 2025) Failures of critical security control systems are detected, alerted, and addressed promptly, including but not limited to: • Network security controls. • IDS/IPS. • Change-detection mechanisms. • Anti-malware solutions. • Physical access controls. • Logical access controls. • Audit logging mechanisms. • Segmentation controls (if used). • Audit log review mechanisms. • Automated security testing tools (if used).",Continuous Monitoring and Anomaly Detection,Specified : Expanded scope→detection/alert/response chain explicit.,Indirect : Alerts/actions explain posture.,Indirect : Evidence exists; integrity not mandated.,Specified : Effective date forces adaptation across all entities.,Specified : Ensuring coverage and response is governance.,Indirect : Setting thresholds and coverage requires reasoning.,,,
,10.7.3,"Failures of any critical security control systems are responded to promptly, including but not limited to: • Restoring security functions. • Documenting duration and cause. • Remediating root cause. • Addressing security issues arising during failure. • Determining whether further actions are required. • Implementing controls to prevent recurrence. • Resuming monitoring of security controls.",Incident Response and Recovery,Specified : Response steps form an end-to-end evidenceable chain.,Indirect : Documentation/steps make rationale explicit.,Specified : “Documenting …” and “prevent recurrence” imply integrity of incident evidence.,Indirect : Responses adapt to incident specifics.,Specified : Executing/approving IR steps is governance.,Specified : Root-cause analysis and action selection are formal reasoning.,,,
11: Test Security of Systems and Networks Regularly,11.1.1,All security policies and operational procedures that are identified in Requirement 11 are: • Documented. • Kept up to date. • In use. • Known to all affected parties.,Requirement-to-Control Mapping and Gap Analysis,Specified: Documented→in-use→known forms policy→procedure→practice lineage.,Indirect: Awareness aids understanding; no narration duty.,Indirect: Records exist; immutability not stated.,Specified: “Kept up to date” mandates revision.,Specified: Ensuring use/awareness is governance.,Indirect: Deciding updates/applicability involves evaluation.,,,
,11.1.2,"Roles and responsibilities for performing activities in Requirement 11 are documented, assigned, and understood.",Requirement-to-Control Mapping and Gap Analysis,Specified: Role→activity mapping to owners.,Indirect: “Understood” supports clarity.,Indirect: Role records exist; integrity not stated.,Indirect: Roles can change.,Specified: Assignment is governance.,Indirect: Allocation choices involve reasoning.,,,
,11.2.1,Authorised and unauthorised wireless access points are managed as follows: • Presence tested for • All identified • Testing at least once every three months • Alerts generated if automated monitoring is used.,Continuous Monitoring and Anomaly Detection; Evidence Collection and Management,Specified: AP discovery→identify→(alert) chain creates device-level lineage.,Indirect: Findings/alerts are reviewable.,Indirect: Test/alert artefacts exist; tamper-evidence not stated.,Specified: Quarterly testing + ongoing alerts = adaptation.,Specified: Operating testing/monitoring is governance.,Specified: Deciding classification and triage requires structured reasoning.,,,
,11.2.2,"An inventory of authorised wireless access points is maintained, including documented business justification.",Evidence Collection and Management,Specified: AP→inventory→justification yields clear lineage.,Specified: “Justification” provides explicit rationale.,Indirect: Inventory exists; immutability not mandated.,Specified: “Maintained” = kept current.,Indirect: Stewardship implied.,Indirect: Curating/retiring entries involves reasoning.,,,
,11.3.1,Internal vulnerability scans are performed at least once every three months; high-risk and critical vulnerabilities are resolved; rescans confirm remediation; scan tools up to date; scans by qualified independent personnel.,Vulnerability and Risk Assessments (VA-RA); Evidence Collection and Management,Specified: Scan→find→remediate→rescan produces auditable chain.,Indirect: Severity/notes explain prioritisation.,Indirect: Reports/rescans exist; immutability not required.,Specified: Quarterly cadence + tool updates.,Specified: Using qualified personnel and enforcing remediation is governance.,Specified: Severity assessment and fix validation are formal reasoning.,,,
,11.3.1.1,"All other vulnerabilities (not high/critical) are addressed based on targeted risk analysis, with rescans as needed.",Vulnerability and Risk Assessments (VA-RA); Evidence Collection and Management,Specified: TRA→treatment→(rescan) mapping is traceable.,Indirect: TRA documents rationale.,Indirect: Evidence exists; integrity not mandated.,Specified: “As needed” via TRA = adaptive cadence.,Specified: Approving TRA outcomes is governance.,Specified: TRA is a structured reasoning exercise.,,,
,11.3.1.2,Internal vulnerability scans are performed using authenticated scanning with sufficient privileges (where supported).,Vulnerability and Risk Assessments (VA-RA); Evidence Collection and Management,Specified: Auth mode→coverage mapping explicit.,Indirect: Mode choice is interpretable.,Indirect: Scan configs/results exist; integrity not stated.,Indirect: Privilege scope evolves.,Specified: Enforcing auth scans is governance.,Indirect: Determining “sufficient privileges” requires reasoning.,,,
,11.3.1.3,Internal vulnerability scans are performed after any significant change.,Vulnerability and Risk Assessments (VA-RA); Evidence Collection and Management,Specified: Change event→scan linkage is traceable.,Indirect: Rationale evident.,Indirect: Reports exist; integrity not mandated.,Specified: Event-driven adaptation.,Specified: Triggering post-change scans is governance.,Indirect: Defining “significant change” involves reasoning.,,,
,11.3.2,"External vulnerability scans are performed quarterly by an Approved Scanning Vendor (ASV), with remediation and rescans to confirm.",Vulnerability and Risk Assessments (VA-RA); Evidence Collection and Management,Specified: ASV scan→remediate→rescan produces clear lineage.,Indirect: Reports explain exposure and fixes.,Indirect: Evidence exists; integrity not mandated.,Specified: Quarterly cadence.,Specified: Selecting ASV and enforcing remediation is governance.,Specified: Prioritising and validating fixes is formal reasoning.,,,
,11.3.2.1,External vulnerability scans are performed after any significant change; vulnerabilities with CVSS 4.0+ resolved; rescans confirm remediation.,Vulnerability and Risk Assessments (VA-RA); Evidence Collection and Management,Specified: Change trigger + CVSS threshold→treatment→rescan = trace.,Indirect: CVSS scoring clarifies decisions.,Indirect: Evidence exists; immutability not stated.,Specified: Event-driven adaptation.,Specified: Enforcing thresholds and rescans is governance.,Specified: Using CVSS and deciding closure requires reasoning.,,,
,11.4.1,"A penetration testing methodology is defined, documented, and implemented, covering CDE perimeter, segmentation, application and network layers, recent threats, and retention of results.",Requirement-to-Control Mapping and Gap Analysis; Control Implementation Validation; Evidence Collection and Management,Specified: Methodology→scope→results retention creates full lineage.,Specified: Documented method explains approach.,Indirect: Retention required; explicit tamper-evidence not stated.,Specified: “Recent threats” implies ongoing updates.,Specified: Defining and enforcing methodology is governance.,Specified: Test design and scoping are formal reasoning.,,,
,11.4.2,"Internal penetration testing is performed annually and after significant changes, by qualified independent personnel.",Control Implementation Validation; Evidence Collection and Management,Specified: Annual/triggered tests→reports link to evidence chain.,Indirect: Reports explain findings.,Indirect: Evidence exists; integrity not mandated.,Specified: Annual + event-driven cadence.,Specified: Engaging qualified independent testers is governance.,Indirect: Prioritising fixes is reasoning (closure in 11.4.4).,,,
,11.4.3,"External penetration testing is performed annually and after significant changes, by qualified independent personnel.",Control Implementation Validation; Evidence Collection and Management,Specified: Same as 11.4.2 for external scope.,Indirect: Reports explain findings.,Indirect: Evidence exists; integrity not mandated.,Specified: Annual + event-driven cadence.,Specified: Commissioning tests is governance.,Indirect: Interpreting external findings requires reasoning.,,,
